kanji,hiragana,romaji,frequency
阿久津,あくつ,Akutsu,3
阿波,あわ,Awa,3
阿部,あべ,Abe,2
愛知,あいち,Aichi,5
愛媛,えひめ,Ehime,5
安井,やすい,Yasui,3
安芸,あき,Aki,5
安西,あんざい,Anzai,4
安達,あだち,Adachi,3
安田,やすだ,Yasuda,3
安田,あんだ,Anda,3
安藤,あんどう,Ando,3
安倍,あべ,Abe,2
安部,あべ,Abe,2
安部,やすべ,Yasube,4
安房,あわ,Awa,5
安齋,あんざい,Anzai,4
伊賀,いが,Iga,5
伊原,いはら,Ihara,3
伊勢,いせ,Ise,5
伊村,いむら,Imura,3
伊東,いとう,Ito,2
伊藤,いとう,Ito,1
伊豆,いず,Izu,5
伊予,いよ,Iyo,5
井口,いぐち,Iguchi,3
井上,いのうえ,Inoue,1
井沢,いざわ,Izawa,3
井田,いだ,Ida,3
井本,いもと,Imoto,3
磯崎,いそざき,Isozaki,3
磯山,いそやま,Isoyama,4
磯田,いそだ,Isoda,3
磯野,いその,Isono,3
一宮,いちのみや,Ichinomiya,3
一条,いちじょう,Ichijo,4
一色,いっしき,Isshiki,4
稲垣,いながき,Inagaki,3
稲川,いながわ,Inagawa,4
稲田,いなだ,Inada,3
稲本,いなもと,Inamoto,4
稲葉,いなば,Inaba,3
茨,いばら,Ibara,5
茨城,いばらき,Ibaraki,5
因幡,いなば,Inaba,5
隠岐,おき,Oki,4
宇沢,うざわ,Uzawa,3
宇田,うだ,Uda,4
宇都宮,うつのみや,Utsunomiya,4
宇野,うの,Uno,3
羽島,はじま,Hajima,4
雨宮,あめみや,Amemiya,4
臼井,うすい,Usui,4
浦,うら,Ura,4
浦上,うらかみ,Urakami,3
浦田,うらた,Urata,3
浦島,うらしま,Urashima,4
浦野,うらの,Urano,3
永井,やすい,Yasui,4
永山,ながやま,Nagayama,4
永田,ながた,Nagata,3
永野,ながの,Nagano,4
益田,ますだ,Masuda,4
越前,えちぜん,Echizen,5
越智,おち,Ochi,4
越中,えっちゅう,Etchu,5
榎,えのき,Enoki,5
榎本,えのもと,Enomoto,3
園田,そのだ,Sonoda,3
遠江,とおとうみ,Totomi,5
遠山,とおやま,Toyama,3
遠田,とおだ,Toda,4
遠藤,えんどう,Endo,2
塩見,しおみ,Shiomi,3
塩原,しおばら,Shiobara,4
塩川,しおかわ,Shiokawa,4
塩田,しおた,Shiota,3
塩野,しおの,Shiono,3
奥,おく,Oku,4
奥山,おくやま,Okuyama,3
奥西,おくにし,Okunishi,4
奥村,おくむら,Okumura,2
奥田,おくだ,Okuda,3
奥野,おくの,Okuno,3
横井,よこい,Yokoi,4
横山,よこやま,Yokoyama,2
横瀬,よこせ,Yokose,4
横沢,よこさわ,Yokosawa,4
横田,よこた,Yokota,2
横田,よこだ,Yokoda,4
岡,おか,Oka,4
岡安,おかやす,Okayasu,4
岡崎,おかざき,Okazaki,2
岡山,おかやま,Okayama,4
岡上,おかがみ,Okagami,4
岡村,おかむら,Okamura,3
岡田,おかだ,Okada,1
岡部,おかべ,Okabe,2
岡本,おかもと,Okamoto,2
岡野,おかの,Okano,3
岡林,おかばやし,Okabayashi,4
沖田,おきた,Okita,3
沖縄,おきなわ,Okinawa,5
荻野,おぎの,Ogino,4
下,した,Shita,4
下山,しもやま,Shimoyama,3
下村,しもむら,Shimomura,2
下田,しもだ,Shimoda,3
下野,しもつけ,Shimotsuke,4
加賀,かが,Kaga,5
加地,かじ,Kaji,4
加藤,かとう,Kato,1
加納,かのう,Kano,4
夏,なつ,Natsu,4
夏目,なつめ,Natsume,3
河,かわ,Kawa,4
河原,かわはら,Kawahara,3
河合,かわい,Kawai,3
河崎,かわさき,Kawasaki,3
河村,かわむら,Kawamura,3
河村,かむら,Kamura,3
河津,かわつ,Kawatsu,3
河東,かわひがし,Kawahigashi,4
河内,かわち,Kawachi,4
河本,かわもと,Kawamoto,3
河野,こうの,Kono,2
河野,かわの,Kawano,2
花岡,はなおか,Hanaoka,4
花村,はなむら,Hanamura,4
花田,はなだ,Hanada,3
花木,はなき,Hanaki,4
蝦夷,えぞ,Ezo,5
海,うみ,Umi,4
海野,かいの,Kaino,3
海老,えび,Ebi,4
海老原,えびはら,Ebihara,4
角田,かくた,Kakuta,4
笠井,かさい,Kasai,3
笠原,かさはら,Kasahara,3
笠野,かさの,Kasano,4
梶,かじ,Kaji,5
梶原,かじわら,Kajiwara,3
蒲田,かまた,Kamata,3
鎌倉,かまくら,Kamakura,3
鎌田,かまた,Kamata,3
鎌野,かまの,Kamano,4
鴨川,かもがわ,Kamogawa,4
関,せき,Seki,2
関口,せきぐち,Sekiguchi,3
関根,せきね,Sekine,3
丸山,まるやま,Maruyama,3
丸谷,まるたに,Marutani,4
丸本,まるもと,Marumoto,4
岸,きし,Kishi,3
岸田,きしだ,Kishida,2
岸本,きしもと,Kishimoto,2
岩,いわ,Iwa,5
岩井,いわい,Iwai,3
岩下,いわした,Iwashita,3
岩間,いわま,Iwama,3
岩佐,いわさ,Iwasa,3
岩崎,いわさき,Iwasaki,2
岩手,いわて,Iwate,5
岩城,いわき,Iwaki,4
岩瀬,いわせ,Iwase,3
岩田,いわた,Iwata,2
岩本,いわもと,Iwamoto,2
岩木,いわき,Iwaki,4
亀井,かめい,Kamei,3
菊地,きくち,Kikuchi,2
菊池,きくち,Kikuchi,2
菊田,きくた,Kikuta,4
吉井,よしい,Yoshii,3
吉永,よしなが,Yoshinaga,3
吉岡,よしおか,Yoshioka,3
吉見,よしみ,Yoshimi,4
吉原,よしはら,Yoshihara,3
吉江,よしえ,Yoshie,4
吉松,よしまつ,Yoshimatsu,4
吉水,よしみず,Yoshimizu,4
吉川,よしかわ,Yoshikawa,2
吉川,きっかわ,Kikkawa,2
吉村,よしむら,Yoshimura,3
吉沢,よしざわ,Yoshizawa,3
吉田,よしだ,Yoshida,1
吉富,よしとみ,Yoshitomi,4
吉本,よしもと,Yoshimoto,3
吉野,よしの,Yoshino,3
橘,たちばな,Tachibana,3
丘,おか,Oka,5
久,く,Ku,5
久田,ひさだ,Hisada,3
久島,ひさしま,Hisashima,4
久米,くめ,Kume,3
久保,くぼ,Kubo,2
久保田,くぼた,Kubota,2
久留米,くるめ,Kurume,3
及川,おいかわ,Oikawa,3
宮浦,みやうら,Miyaura,4
宮岡,みやおか,Miyaoka,4
宮下,みやした,Miyashita,3
宮原,みやはら,Miyahara,3
宮腰,みやこし,Miyakoshi,4
宮坂,みやさか,Miyasaka,4
宮崎,みやざき,Miyazaki,2
宮城,みやぎ,Miyagi,3
宮川,みやかわ,Miyakawa,3
宮前,みやまえ,Miyamae,3
宮台,みやだい,Miyadai,4
宮沢,みやざわ,Miyazawa,3
宮地,みやち,Miyachi,4
宮田,みやた,Miyata,2
宮島,みやじま,Miyajima,3
宮内,みやうち,Miyauchi,3
宮本,みやもと,Miyamoto,2
宮野,みやの,Miyano,4
宮里,みやさと,Miyasato,4
宮路,みやじ,Miyaji,4
宮脇,みやわき,Miyawaki,4
牛山,うしやま,Ushiyama,4
京都,きょうと,Kyoto,5
橋,はし,Hashi,5
橋口,はしぐち,Hashiguchi,4
橋上,はしかみ,Hashikami,4
橋爪,はしづめ,Hashizume,4
橋田,はしだ,Hashida,4
橋本,はしもと,Hashimoto,1
玉,たま,Tama,4
玉井,たまい,Tamai,3
玉山,たまやま,Tamayama,4
玉城,たまき,Tamaki,4
玉田,たまだ,Tamada,4
玉木,たまき,Tamaki,4
桐,きり,Kiri,5
桐山,きりやま,Kiriyama,3
桐島,きりしま,Kirishima,4
近江,おうみ,Omi,3
近藤,こんどう,Kondo,2
近野,ちかの,Chikano,4
金,かね,Kane,5
金井,かねい,Kanei,3
金丸,かねまる,Kanemaru,3
金原,かねはら,Kanehara,3
金光,かねみつ,Kanemitsu,4
