kanji,hiragana,romaji,frequency
太郎,たろう,Taro,1
一郎,いちろう,Ichiro,1
二郎,じろう,Jiro,1
三郎,さぶろう,Saburo,2
四郎,しろう,Shiro,2
五郎,ごろう,Goro,2
次郎,じろう,Jiro,1
健一,けんいち,Kenichi,1
健二,けんじ,Kenji,1
健太,けんた,Kenta,1
健太郎,けんたろう,Kentaro,3
健斗,けんと,Kento,1
健人,けんと,Kento,1
健吾,けんご,Kengo,2
健司,けんじ,Kenji,1
健介,けんすけ,Kensuke,2
誠,まこと,Makoto,1
誠一,せいいち,Seiichi,2
誠二,せいじ,Seiji,3
誠司,せいじ,Seiji,3
誠治,せいじ,Seiji,3
拓也,たくや,Takuya,1
拓哉,たくや,Takuya,1
拓郎,たくろう,Takuro,3
拓人,たくと,Takuto,2
裕也,ゆうや,Yuya,2
裕之,ひろゆき,Hiroyuki,2
裕太,ゆうた,Yuta,1
裕介,ゆうすけ,Yusuke,1
裕一,ゆういち,Yuichi,1
浩一,こういち,Koichi,1
浩二,こうじ,Koji,1
浩之,ひろゆき,Hiroyuki,2
浩太,こうた,Kota,1
浩司,こうじ,Koji,1
大輔,だいすけ,Daisuke,1
大介,だいすけ,Daisuke,1
大樹,だいき,Daiki,1
大貴,だいき,Daiki,1
大地,だいち,Daichi,2
大和,やまと,Yamato,1
大翔,ひろと,Hiroto,3
大志,たいし,Taishi,3
大智,だいち,Daichi,3
大輝,だいき,Daiki,1
大吾,だいご,Daigo,3
大悟,だいご,Daigo,3
大雅,たいが,Taiga,3
翔,しょう,Sho,3
翔太,しょうた,Shota,1
翔平,しょうへい,Shohei,1
翔馬,しょうま,Shoma,3
翔汰,しょうた,Shota,1
翔太郎,しょうたろう,Shotaro,3
翔一,しょういち,Shoichi,3
隆,たかし,Takashi,1
隆一,りゅういち,Ryuichi,1
隆二,りゅうじ,Ryuji,2
隆志,たかし,Takashi,1
隆史,たかし,Takashi,1
隆之,たかゆき,Takayuki,2
隆行,たかゆき,Takayuki,3
隆雄,たかお,Takao,2
明,あきら,Akira,1
明一,あきかず,Akikazu,3
昭一,しょういち,Shoichi,3
義一,よしかず,Yoshikazu,2
義雄,よしお,Yoshio,2
清,きよし,Kiyoshi,2
清一,せいいち,Seiichi,2
清二,きよじ,Kiyoji,3
和彦,かずひこ,Kazuhiko,2
和夫,かずお,Kazuo,2
和也,かずや,Kazuya,2
和哉,かずや,Kazuya,2
和之,かずゆき,Kazuyuki,2
和貴,かずき,Kazuki,2
和樹,かずき,Kazuki,2
和輝,かずき,Kazuki,2
修一,しゅういち,Shuichi,2
修二,しゅうじ,Shuji,2
修司,しゅうじ,Shuji,2
修平,しゅうへい,Shuhei,2
修也,おさむ,Osamu,2
修哉,おさむ,Osamu,2
哲也,てつや,Tetsuya,2
哲郎,てつろう,Tetsuro,2
哲雄,てつお,Tetsuo,2
哲史,てつし,Tetsushi,3
哲司,てつじ,Tetsuji,2
渉,わたる,Wataru,3
渉一,わたるいち,Watarichi,5
俊一,しゅんいち,Shunichi,2
俊二,しゅんじ,Shunji,2
俊司,しゅんじ,Shunji,2
俊夫,としお,Toshio,2
俊太,しゅんた,Shunta,2
俊介,しゅんすけ,Shunsuke,2
俊哉,としや,Toshiya,2
俊樹,としき,Toshiki,2
智一,ともかず,Tomokazu,2
智也,ともや,Tomoya,2
智之,ともゆき,Tomoyuki,2
智史,ともふみ,Tomofumi,2
智哉,ともや,Tomoya,2
智樹,ともき,Tomoki,2
悟,さとる,Satoru,3
悟一,さとるいち,Satoruichi,5
幸一,こういち,Koichi,1
幸二,こうじ,Koji,1
幸司,こうじ,Koji,1
幸夫,ゆきお,Yukio,2
幸太,こうた,Kota,1
幸之,ゆきゆき,Yukiyuki,5
幸樹,こうき,Koki,2
幸輝,こうき,Koki,2
進,すすむ,Susumu,3
進一,しんいち,Shinichi,2
進二,しんじ,Shinji,2
淳,じゅん,Jun,2
淳一,じゅんいち,Junichi,2
淳二,じゅんじ,Junji,2
淳司,じゅんじ,Junji,2
淳史,じゅんじ,Junji,2
淳平,じゅんぺい,Junpei,2
博,ひろし,Hiroshi,2
博一,ひろかず,Hirokazu,3
博二,ひろじ,Hiroji,3
博之,ひろゆき,Hiroyuki,2
博史,ひろし,Hiroshi,3
光,ひかる,Hikaru,2
光一,こういち,Koichi,1
光二,こうじ,Koji,1
光司,こうじ,Koji,1
光也,みつや,Mitsuya,3
光樹,こうき,Koki,2
正,ただし,Tadashi,3
正一,しょういち,Shoichi,3
正二,しょうじ,Shoji,2
正也,まさや,Masaya,2
正之,まさゆき,Masayuki,2
正哉,まさや,Masaya,2
正樹,まさき,Masaki,2
正輝,まさき,Masaki,2
信,のぶ,Nobu,2
信一,しんいち,Shinichi,2
信二,しんじ,Shinji,2
信也,のぶや,Nobuya,2
信之,のぶゆき,Nobuyuki,2
信哉,のぶや,Nobuya,2
信樹,のぶき,Nobuki,2
文,ふみ,Fumi,3
