prefecture,hiragana,romaji,population,frequency
東京都,とうきょうと,Tokyo,14273066,1
神奈川県,かながわけん,Kanagawa,9216927,1
大阪府,おおさかふ,Osaka,8777998,1
愛知県,あいちけん,Aichi,7453803,1
埼玉県,さいたまけん,Saitama,7322991,1
千葉県,ちばけん,Chiba,6277188,1
兵庫県,ひょうごけん,Hyogo,5306818,1
福岡県,ふくおかけん,Fukuoka,5088841,1
北海道,ほっかいどう,Hokkaido,4993042,2
静岡県,しずおかけん,Shizuoka,3491925,2
茨城県,いばらきけん,Ibaraki,2791231,2
広島県,ひろしまけん,Hiroshima,2694648,2
京都府,きょうとふ,Kyoto,2506615,2
宮城県,みやぎけん,Miyagi,2230717,2
新潟県,にいがたけん,Niigata,2071066,2
長野県,ながのけん,Nagano,1971450,3
岐阜県,ぎふけん,Gifu,1897133,3
群馬県,ぐんまけん,Gunma,1876416,3
栃木県,とちぎけん,Tochigi,1868706,3
岡山県,おかやまけん,Okayama,1815161,3
福島県,ふくしまけん,Fukushima,1717665,3
三重県,みえけん,Mie,1694693,3
熊本県,くまもとけん,Kumamoto,1683115,3
鹿児島県,かごしまけん,Kagoshima,1512337,3
沖縄県,おきなわけん,Okinawa,1466454,3
滋賀県,しがけん,Shiga,1396532,3
奈良県,ならけん,Nara,1274196,3
山口県,やまぐちけん,Yamaguchi,1261226,3
愛媛県,えひめけん,Ehime,1258374,3
長崎県,ながさきけん,Nagasaki,1234361,3
青森県,あおもりけん,Aomori,1145366,3
岩手県,いわてけん,Iwate,1126813,3
石川県,いしかわけん,Ishikawa,1089858,3
大分県,おおいたけん,Oita,1074257,3
宮崎県,みやざきけん,Miyazaki,1018859,3
山形県,やまがたけん,Yamagata,994537,4
富山県,とやまけん,Toyama,986224,4
香川県,かがわけん,Kagawa,908343,4
秋田県,あきたけん,Akita,878909,4
和歌山県,わかやまけん,Wakayama,867928,4
山梨県,やまなしけん,Yamanashi,783870,4
佐賀県,さがけん,Saga,781351,4
福井県,ふくいけん,Fukui,731805,5
徳島県,とくしまけん,Tokushima,675864,5
高知県,こうちけん,Kochi,644881,5
島根県,しまねけん,Shimane,633105,5
鳥取県,とっとりけん,Tottori,524535,5
